,review,Total Star,Menu,Star_opt,Output
21,굿자주 시키는데 진짜 콘듀 너무 좋아요 ㅎㅎ 사랑합니다,★★★★★,콘듀치킨 스틱/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
22,역시 또레오래 하면독산가산점이 최고입니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",4.0
23,진짜 너무 맛있어요 ㅠㅠ 못해도 일주일에 한 번은 먹는듯 요청사항도 너무 친절히 잘 들어주시고 항상 감사합니다,★★★★★,"맵부심후라이드/1,치킨무 추가/1","
맛
★
5
양
★
5
배달
★
5
",5.0
24,간만에 먹었는데 역쉬  배달비가 올라 쪼큼 아쉽긴 했지만 그래도 넘나 맛나게 먹었어용,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",3.58
25,맛있어요 잘 먹었습니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
26,배달진짜빠르네요 맛있게먹었습니다,★★★★★,후라이드반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
27,너무 맛잇어요 부드럽고 바삭해요 해쉬브라운도 잘먹었어요,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
28,오늘 처음먹어보는 치킨인데 아주 안정적입니다,★★★★★,핫뿌레이크/1,"
맛
★
5
양
★
5
배달
★
5
",3.59
29,맛있게 잘 먹었습니다,★★★★★,"맵부심후라이드 순살/1,떡사리 추가/1","
맛
★
5
양
★
5
배달
★
5
",4.8
30,여긴 항상 배달도 빠르고 맛도 너무 좋아요 단골입니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.82
31,정말 잘 먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
32,간만에 배달해서 먹었는데 역쉬나 맛있어요요구사항이 많았는데 다 반영해주셔서 정말감사드립니다,★★★★★,"오곡 양념 치킨/1(부위선택 택 1(한마리)),리얼치즈볼/1","
맛
★
5
양
★
5
배달
★
5
",5.0
33,오늘도 먹으려구요너무 짱맛 배달해주시는 분 센스 진짜 만점이였어요,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
34,맛있게 잘 먹었습니다,★★★★★,단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
35,잘먹었습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
36,매우  맛있게 잘 먹었습니다 바삭하고 촉촉해요 헤쉬 브라운도 맛있어요,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.6
37,역시 또래오래가 제일 맛있어요집에서 가깝고 사장님도 너무 친절하시고푸짐하고 맛있고 신선하고 뭐하나 빠지는게 없네요늦은시간이라 먹을지말지 되게 고민많이 하고 시켰는데 후회하지 않습니다다이어트는 먹고 운동하죠 뭐,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
38,오늘도 정말 맛있게 잘 먹었습니다,★★★★★,"오곡 파닭 치킨/1(부위선택 택 1(순살（다리살）)),국물떡볶이/2,생맥주 1000cc/1","
맛
★
5
양
★
5
배달
★
5
",4.8
39,역시 단짠단짠 최애,★★★★★,단짠치킨 윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",4.4
40,너무 맛있습니당 최고입니다,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
41,맛있게 먹었어요 떡사리 감사합니다,★★★★★,양념반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
43,맛있어요 또 주문하겠습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
44,튀김상태 너무좋고 맛있어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
45,또래오래는 여기지점에서만 먹어요 핫양념 짱맛,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.81
46,순살 다리살이라 맛있어여,★★★★★,"치킨＋치즈볼/1(치킨 선택 택 1(후반양반),세트 부위선택 택 1(순살（다리살）))","
맛
★
5
양
★
5
배달
★
5
",4.39
47,잘먹었습니다핫양념 중간맛 ㅤㅊㅚㄱ오,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
